Age group,2017_Professional Technical & related workers (Doctors/Engineers/Accountants/ Teachers/Authors/ Photographers)_M,2017_Professional Technical & related workers (Doctors/Engineers/Accountants/ Teachers/Authors/ Photographers)_F,2017_Administrative Executive Managerial & related workers_M,2017_Administrative Executive Managerial & related workers_F,2017_Clerical & related workers (Stenographers/ Typists etc)_M,2017_Clerical & related workers (Stenographers/ Typists etc)_F,2017_Sales workers_M,2017_Sales workers_F,2017_Service workers (Cooks/Tailors/Barbers/ etc)_M,2017_Service workers (Cooks/Tailors/Barbers/ etc)_F,2017_Agricultural Animal Husbandry Fisherman & related Forestry workers_M,2017_Agricultural Animal Husbandry Fisherman & related Forestry workers_F,2017_Production process workers Craftsman & related workers transport equipment operators & labourers_M,2017_Production process workers Craftsman & related workers transport equipment operators & labourers_F,2017_Armed Services_M,2017_Armed Services_F,2017_Police_M,2017_Police_F,2017_Security Personnel_M,2017_Security Personnel_F,2017_Pensioners_M,2017_Pensioners_F,2017_Students_M,2017_Students_F,2017_Politicians_M,2017_Politicians_F,2017_Unemployed persons_M,2017_Unemployed persons_F,2017_Workers not classfied by occupation_M,2017_Workers not classfied by occupation_F,2017_Totals_M,2017_Totals_F,2016_Professional. Technical & related workers (Doctors/Engineers/Accountants/ Teachers/Authors/ Photographers)_M,2016_Professional. Technical & related workers (Doctors/Engineers/Accountants/ Teachers/Authors/ Photographers)_F,2016_Administrative Executive Managerial & related workers_M,2016_Administrative Executive Managerial & related workers_F,2016_Clerical & related workers (Stenographers/ Typists etc)_M,2016_Clerical & related workers (Stenographers/ Typists etc)_F,2016_Sales workers_M,2016_Sales workers_F,2016_Service workers (Cooks/Tailors/Barbers/ etc)_M,2016_Service workers (Cooks/Tailors/Barbers/ etc)_F,2016_Agricultural Animal Husbandry Fisherman & related Forestry workers_M,2016_Agricultural Animal Husbandry Fisherman & related Forestry workers_F,2016_Production process workers Craftsman & related workers transport equipment operators & labourers_M,2016_Production process workers Craftsman & related workers transport equipment operators & labourers_F,2016_Armed Services_M,2016_Armed Services_F,2016_Police_M,2016_Police_F,2016_Security Personnel_M,2016_Security Personnel_F,2016_Pensioners_M,2016_Pensioners_F,2016_Students_M,2016_Students_F,2016_Politicians_M,2016_Politicians_F,2016_Unemployed persons_M,2016_Unemployed persons_F,2016_Workers not classfied by occupation_M,2016_Workers not classfied by occupation_F,2016_Totals_M,2016_Totals_F,2015_Professional. Technical & related workers (Doctors/Engineers/Accountants/ Teachers/Authors/ Photographers)_M,2015_Professional. Technical & related workers (Doctors/Engineers/Accountants/ Teachers/Authors/ Photographers)_F,2015_Administrative Executive Managerial & related workers_M,2015_Administrative Executive Managerial & related workers_F,2015_Clerical & related workers (Stenographers/ Typists etc)_M,2015_Clerical & related workers (Stenographers/ Typists etc)_F,2015_Sales workers_M,2015_Sales workers_F,2015_Service workers (Cooks/Tailors/Barbers/ etc)_M,2015_Service workers (Cooks/Tailors/Barbers/ etc)_F,2015_Agricultural Animal Husbandry Fisherman & related Forestry workers_M,2015_Agricultural Animal Husbandry Fisherman & related Forestry workers_F,2015_Production process workers Craftsman & related workers transport equipment operators & labourers_M,2015_Production process workers Craftsman & related workers transport equipment operators & labourers_F,2015_Armed Services_M,2015_Armed Services_F,2015_Police_M,2015_Police_F,2015_Security Personnel_M,2015_Security Personnel_F,2015_Pensioners_M,2015_Pensioners_F,2015_Students_M,2015_Students_F,2015_Politicians_M,2015_Politicians_F,2015_Unemployed persons_M,2015_Unemployed persons_F,2015_Workers not classfied by occupation_M,2015_Workers not classfied by occupation_F,2015_Totals_M,2015_Totals_F,2014_Professional. Technical & related workers (Doctors/Engineers/Accountants/ Teachers/Authors/ Photographers)_M,2014_Professional. Technical & related workers (Doctors/Engineers/Accountants/ Teachers/Authors/ Photographers)_F,2014_Administrative Executive Managerial & related workers_M,2014_Administrative Executive Managerial & related workers_F,2014_Clerical & related workers (Stenographers/ Typists etc)_M,2014_Clerical & related workers (Stenographers/ Typists etc)_F,2014_Sales workers_M,2014_Sales workers_F,2014_Service workers (Cooks/Tailors/Barbers/ etc)_M,2014_Service workers (Cooks/Tailors/Barbers/ etc)_F,2014_Agricultural Animal Husbandry Fisherman & related Forestry workers_M,2014_Agricultural Animal Husbandry Fisherman & related Forestry workers_F,2014_Production process workers Craftsman & related workers transport equipment operators & labourers_M,2014_Production process workers Craftsman & related workers transport equipment operators & labourers_F,2014_Armed Services_M,2014_Armed Services_F,2014_Police_M,2014_Police_F,2014_Security Personnel_M,2014_Security Personnel_F,2014_Pensioners_M,2014_Pensioners_F,2014_Students_M,2014_Students_F,2014_Politicians_M,2014_Politicians_F,2014_Unemployed persons_M,2014_Unemployed persons_F,2014_Workers not classfied by occupation_M,2014_Workers not classfied by occupation_F,2014_Totals_M,2014_Totals_F
08 Yrs - 16 Yrs,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,31,0,0,11,9,3,1,49,41,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,44,0,0,5,6,2,1,27,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,0,0,3,4,2,2,32,34,0,2,0,0,9,11,0,2,6,25,0,0,0,0,0,1,0,0,1,2,0,0,0,0,4,2,1,0,17,11,38,56
17 Yrs - 20 Yrs,0,0,0,0,0,1,5,2,5,1,3,0,6,2,2,0,0,0,1,1,0,0,32,32,0,0,45,35,19,13,118,87,1,1,0,0,0,0,3,3,4,3,6,1,9,1,3,0,0,0,0,1,0,0,18,36,0,0,47,54,16,12,107,112,0,0,1,0,1,0,2,2,3,2,3,1,6,3,1,0,0,0,0,0,0,0,31,46,0,0,45,60,21,4,114,118,3,3,1,0,15,9,1,14,52,31,0,0,2,0,1,4,0,0,0,3,0,0,0,0,6,3,5,0,28,21,114,88
21 Yrs - 25 Yrs,4,0,1,0,1,0,8,2,11,1,30,0,11,3,4,1,1,0,1,0,0,0,2,5,0,0,74,56,50,11,198,79,6,1,1,1,3,0,7,4,1,5,29,6,19,4,11,0,0,0,1,0,0,0,1,2,0,0,58,47,70,16,207,86,8,1,0,0,5,1,6,5,2,1,23,4,17,2,14,0,0,0,0,0,0,0,2,4,0,0,57,61,40,17,174,96,9,2,1,1,9,3,20,38,53,19,0,0,11,0,2,0,0,0,0,1,0,0,0,0,18,2,9,5,71,21,203,92
26 Yrs - 30 Yrs,9,1,1,1,4,0,8,0,4,2,27,4,15,4,10,0,0,0,0,1,1,0,0,1,0,0,62,56,73,16,214,86,4,1,2,0,4,0,12,2,2,2,23,2,10,1,7,0,0,0,1,0,0,0,0,0,0,0,38,60,50,15,153,83,7,1,2,0,3,0,9,0,8,0,30,4,27,1,5,0,1,1,4,0,0,0,1,0,0,0,60,41,49,8,206,56,14,1,1,0,3,2,58,31,42,8,0,0,16,0,1,2,0,0,0,0,0,0,0,0,24,5,11,2,55,18,225,69
31 Yrs - 35 Yrs,13,0,2,0,5,0,16,1,6,4,34,4,13,2,6,0,0,0,0,0,0,0,1,0,0,0,52,40,72,14,220,65,5,0,0,0,2,2,8,2,4,0,33,3,15,2,5,0,1,0,3,0,0,0,0,0,0,0,56,37,53,16,185,62,5,1,1,1,1,0,10,0,9,4,35,4,15,0,2,0,0,0,1,0,0,0,0,0,0,0,51,44,68,14,198,68,22,7,4,0,2,1,60,27,15,3,0,0,13,0,5,0,1,0,0,0,0,0,0,0,18,3,7,4,73,12,220,57
36 Yrs - 40 Yrs,7,0,1,0,5,0,16,0,4,3,36,2,15,0,2,0,0,0,4,0,0,0,0,0,0,0,41,38,69,13,200,56,4,1,1,0,1,0,9,1,9,0,35,2,24,2,2,0,0,0,1,0,0,0,0,0,0,0,39,25,51,17,176,48,6,1,0,0,2,0,9,2,4,0,43,4,26,1,2,0,0,0,3,0,0,0,0,0,0,0,53,32,60,13,208,53,17,2,1,0,0,0,61,16,8,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,15,6,11,3,58,12,190,42
41 Yrs - 45 Yrs,7,2,1,0,4,0,11,3,3,2,48,4,12,0,4,0,1,0,3,0,1,0,0,0,0,0,50,27,75,6,220,44,5,0,1,0,4,0,4,2,4,0,33,1,15,1,3,0,1,0,1,0,2,0,0,0,0,0,51,20,71,9,195,33,3,0,0,0,2,0,8,1,1,1,43,3,25,2,4,0,0,0,0,0,1,0,0,0,0,0,48,22,61,5,196,34,16,3,5,0,1,1,58,12,3,0,0,0,18,0,1,0,1,0,0,0,1,0,0,0,14,6,14,3,70,9,202,34
46 Yrs - 50 Yrs,6,0,0,0,3,0,10,1,5,1,58,0,23,1,2,0,0,0,1,0,5,0,0,0,0,0,43,23,76,6,232,32,6,0,1,0,1,0,6,0,3,1,46,2,23,1,1,0,3,0,1,0,1,1,0,0,0,0,57,16,62,9,211,30,0,1,0,0,3,0,10,0,3,0,60,3,18,3,1,0,2,0,1,0,2,0,0,0,0,0,55,28,58,5,213,40,18,5,3,0,1,1,59,12,2,0,0,0,25,0,1,0,1,0,0,0,1,0,0,0,18,7,19,2,82,11,230,38
51 Yrs - 55 Yrs,7,0,1,0,1,0,9,0,4,0,53,3,10,1,1,0,0,0,2,0,2,0,0,0,0,0,59,36,84,5,233,45,7,0,0,0,4,0,8,0,4,0,40,4,22,1,1,0,1,0,1,0,2,0,0,0,0,0,65,26,87,12,242,43,4,0,1,0,0,0,6,1,3,1,57,6,19,0,0,0,0,0,1,0,2,0,0,0,1,0,74,20,82,8,250,36,22,5,3,1,3,0,42,6,1,0,0,0,10,0,2,0,1,0,0,0,0,2,0,0,19,10,36,8,81,9,220,41
56 Yrs - 60 Yrs,1,2,1,0,2,0,6,0,3,0,76,4,18,0,0,0,2,0,1,0,3,0,0,0,0,0,60,26,77,5,250,37,1,0,0,0,2,0,3,0,3,0,51,1,20,1,0,0,0,0,1,0,5,0,0,0,0,0,72,13,58,8,216,23,2,1,0,0,3,0,5,0,3,0,66,4,10,1,0,0,0,0,1,0,11,0,0,0,0,0,68,17,45,12,214,35,23,3,8,1,2,0,34,1,0,0,0,0,20,0,3,0,1,1,0,0,3,0,0,0,29,2,34,4,83,10,240,22
61 Yrs - 65 Yrs,4,0,1,0,2,1,8,0,0,0,49,4,8,0,0,0,0,0,1,0,8,0,0,0,0,0,78,19,63,5,222,29,1,0,1,1,1,0,4,1,1,0,31,0,9,0,0,0,0,0,1,0,6,1,0,0,0,0,53,20,66,4,174,27,2,0,0,0,1,0,4,2,2,0,50,2,8,1,0,0,0,0,0,0,8,0,0,0,0,0,79,18,43,7,197,30,12,1,0,0,1,0,21,4,0,0,0,0,7,0,6,0,2,0,0,0,2,1,1,0,16,8,47,9,87,10,202,33
66 Yrs - 70 Yrs,2,0,0,0,0,0,1,0,1,0,25,2,3,0,0,0,1,0,0,0,9,0,0,0,0,0,78,16,40,3,160,21,0,1,2,0,0,0,2,0,0,0,29,1,9,1,0,0,1,0,0,0,9,1,0,0,0,0,64,22,45,10,161,36,0,0,0,0,0,0,3,0,1,0,20,1,7,0,0,0,0,0,1,0,8,0,0,0,0,0,50,15,39,4,129,20,5,3,2,0,1,0,12,4,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,12,5,42,11,48,12,127,37
Over 71 Yrs,4,0,1,0,2,0,4,0,1,0,39,4,3,0,0,0,0,0,2,0,16,1,0,0,0,0,144,38,54,12,270,55,2,0,2,1,1,0,2,0,2,1,35,2,8,0,0,0,2,0,0,0,9,1,0,0,0,0,136,30,86,16,285,51,1,0,0,0,1,0,3,0,1,0,29,2,12,0,0,0,1,0,1,0,15,0,0,0,0,0,136,38,58,9,258,49,8,0,1,0,0,1,15,2,0,0,0,0,4,0,1,0,1,1,0,0,3,3,0,0,36,7,109,22,95,15,273,51
Total,65,5,10,1,29,2,102,9,47,14,478,31,138,13,31,1,5,0,16,2,45,1,68,69,0,0,797,419,729,110,2586,677,42,5,11,3,23,3,68,15,37,12,391,25,184,15,33,0,9,0,11,1,34,4,38,82,0,0,741,376,717,145,2339,686,38,6,5,1,22,1,75,13,40,9,459,38,190,14,29,0,4,1,13,0,47,0,61,78,1,0,779,400,626,108,2389,669,169,37,30,3,47,29,441,169,182,89,0,0,148,0,23,7,8,2,1,6,12,8,1,0,229,66,345,73,848,171,2484,660